Scheme,Scheme Type,keep_flag
Open Ended Schemes,Income,1
Open Ended Schemes,Growth,1
Open Ended Schemes,Balanced,1
Open Ended Schemes,Liquid,1
Open Ended Schemes,Money Market,1
Open Ended Schemes,Gilt,1
Open Ended Schemes,ELSS,0
Open Ended Schemes,Floating Rate,1
Open Ended Schemes,Fund of Funds - Domestic,0
Open Ended Schemes,GOLD ETFs,1
Open Ended Schemes,Other ETFs,0
Open Ended Schemes,Fund of Funds - Overseas,0
Open Ended Schemes,Equity Scheme - Multi Cap Fund,0
Open Ended Schemes,Equity Scheme - Large Cap Fund,0
Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,0
Open Ended Schemes,Equity Scheme - Mid Cap Fund,0
Open Ended Schemes,Equity Scheme - Small Cap Fund,0
Open Ended Schemes,Equity Scheme - Dividend Yield Fund,0
Open Ended Schemes,Equity Scheme - Value Fund,0
Open Ended Schemes,Equity Scheme - Contra Fund,0
Open Ended Schemes,Equity Scheme - Focused Fund,0
Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,0
Open Ended Schemes,Equity Scheme - ELSS,0
Open Ended Schemes,Debt Scheme - Overnight Fund,1
Open Ended Schemes,Debt Scheme - Liquid Fund,1
Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,1
Open Ended Schemes,Debt Scheme - Low Duration Fund,1
Open Ended Schemes,Debt Scheme - Money Market Fund,1
Open Ended Schemes,Debt Scheme - Short Duration Fund,1
Open Ended Schemes,Debt Scheme - Medium Duration Fund,1
Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,1
Open Ended Schemes,Debt Scheme - Dynamic Bond,1
Open Ended Schemes,Debt Scheme - Corporate Bond Fund,1
Open Ended Schemes,Debt Scheme - Credit Risk Fund,1
Open Ended Schemes,Debt Scheme - Banking and PSU Fund,1
Open Ended Schemes,Debt Scheme - Gilt Fund,1
Open Ended Schemes,Debt Scheme - Gilt Fund with 10 year constant duration,1
Open Ended Schemes,Debt Scheme - Floater Fund,1
Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,0
Open Ended Schemes,Hybrid Scheme - Balanced Hybrid Fund,0
Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,0
Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,0
Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,0
Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,0
Open Ended Schemes,Hybrid Scheme - Equity Savings,0
Open Ended Schemes,Solution Oriented Scheme - Retirement Fund,1
Open Ended Schemes,Solution Oriented Scheme - Childrenâ€™s Fund,1
Open Ended Schemes,Other Scheme - Index Funds,0
Open Ended Schemes,Other Scheme - Gold ETF,1
Open Ended Schemes,Other Scheme - Other  ETFs,0
Open Ended Schemes,Other Scheme - FoF Overseas,0
Open Ended Schemes,Other Scheme - FoF Domestic,0
Open Ended Schemes,Equity Scheme - Flexi Cap Fund,0
Close Ended Schemes,Income,1
Close Ended Schemes,Growth,0
Close Ended Schemes,Balanced,0
Close Ended Schemes,ELSS,0
Close Ended Schemes,Fund of Funds - Domestic,0
Interval Fund Schemes,Income,0
Open Ended Schemes,Debt Scheme - Long Duration Fund,1
Interval Fund Schemes,Growth,0